tweet_cleaned,tweet_favorite_count,tweet_geo,tweet_hashtags,tweet_id,tweet_lang,tweet_place,tweet_retweet_count,tweet_text,tweet_time,tweet_tokens,tweet_type,tweet_user_mention_ids,tweet_user_mentions,user,user_favourites_count,user_followers_count,user_friends_count,user_id,user_location,user_screen_name,user_statuses_count,user_vintage,sentiment,sentiment_class
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972831617277464576,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 13:48:26 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],Daily G,7868,1569,419,969446544679333888,"London, England",DailyG13,7406,Fri Mar 02 05:37:22 +0000 2018,0.5702117681503296,positive
Istanbul Travel Cruise You ve been warned Stay away from Turk,1,,"['Istanbul', 'Travel', 'Cruise', 'TurkishAirlines', 'EU', 'Russia', 'USA', 'NYC']",972825809013616641,en,,0,"#Istanbul #Travel #Cruise @TUIGroup #TurkishAirlines #EU #Russia #USA #NYC 
You've been warned. Stay away from Turk… https://t.co/xSjCbGCgM6",Sun Mar 11 13:25:21 +0000 2018,"['istanbul', 'travel', 'cruise', 'you', 'warned', 'stay', 'away', 'turk']",user_tweet,[41062336],['TUIGroup'],Americans4YPG,14268,5064,1152,3302455838,,Amercans4YPG,25699,Fri Jul 31 13:21:01 +0000 2015,-0.16168799996376038,neutral
,0,,"['TurkishAirlines', 'Boeing', 'Airbus']",972823577308401664,fr,,1,RT @Ibrahimova_GNL: #TurkishAirlines prévoit d'acheter au moins 50 appareils à #Boeing et #Airbus https://t.co/ppqfb3lcaB @TurkishAirlines…,Sun Mar 11 13:16:29 +0000 2018,[],retweet,"[4462248196, 18909186]","['Ibrahimova_GNL', 'TurkishAirlines']",Pample_Mousse,360,94,153,960397685747576837,,pamplemousseeee,596,Mon Feb 05 06:20:26 +0000 2018,0.20670431852340698,positive
_ _ turkishairlines tkmoments,0,,"['روعة_الشمال_التركي', 'turkishairlines', 'tkmoments']",972822317989617664,ar,,58,"RT @AnAmd05: من أفضل المطاعم في طرابزون👍
https://t.co/azHnSQMITA
#روعة_الشمال_التركي
#turkishairlines
#tkmoments
@s2005mb https://t.co/b06k…",Sun Mar 11 13:11:29 +0000 2018,"['_', '_', 'turkishairlines', 'tkmoments']",retweet,"[492292710, 433574142]","['AnAmd05', 's2005mb']",مشاري بيك☪︎ 🇰🇼🇹🇷,346,23865,4158,594013443,"Türkiye, kuwait",mishari_beck,36719,Tue May 29 18:30:01 +0000 2012,0.07262089848518372,neutral
In our flight training center which is the largest in Europe we train more than flight attendants and,0,,[],972814464453136384,en,,85,"RT @TurkishAirlines: ✈
In our flight training center, which is the largest in Europe, we train more than 10,000 flight attendants and 4,000…",Sun Mar 11 12:40:17 +0000 2018,"['in', 'flight', 'training', 'center', 'largest', 'europe', 'train', 'flight', 'attendants']",retweet,[18909186],['TurkishAirlines'],Therealnin,1621,0,10,938361961758240768,,Therealnin2,3955,Wed Dec 06 10:58:20 +0000 2017,0.5345414876937866,positive
Today you re the pilot tag that special friend you d want as your co pilot TurkishAirlines,0,,['TurkishAirlines'],972814447717822465,en,,28,"RT @TurkishAirlines: ✈️
Today you're the pilot - tag that special friend you'd want as your co-pilot! 

#TurkishAirlines https://t.co/cKke3…",Sun Mar 11 12:40:13 +0000 2018,"['today', 'pilot', 'tag', 'special', 'friend', 'co', 'pilot', 'turkishairlines']",retweet,[18909186],['TurkishAirlines'],Therealnin,1621,0,10,938361961758240768,,Therealnin2,3955,Wed Dec 06 10:58:20 +0000 2017,0.6480235457420349,positive
Check out Turkish Airlines set of in flight entertainment offers including Oscars Best Picture TheShapeofWater,0,,"['Oscars', 'TheShapeofWater']",972814436170903553,en,,25,"RT @TurkishAirlines: ✈️
Check out Turkish Airlines' set of in-flight entertainment offers, including #Oscars Best Picture #TheShapeofWater!…",Sun Mar 11 12:40:10 +0000 2018,"['check', 'turkish', 'airlines', 'set', 'flight', 'entertainment', 'offers', 'including', 'oscars', 'best', 'picture', 'theshapeofwater']",retweet,[18909186],['TurkishAirlines'],Therealnin,1621,0,10,938361961758240768,,Therealnin2,3955,Wed Dec 06 10:58:20 +0000 2017,0.510441780090332,positive
eDreams ranked Turkish Airlines the best full service airline in the world for based on Turkish Airlines ex,0,,[],972814415656570880,en,,71,"RT @TurkishAirlines: ✈️
eDreams ranked Turkish Airlines the ""best full service airline in the world for 2018"" based on Turkish Airlines' ex…",Sun Mar 11 12:40:05 +0000 2018,"['edreams', 'ranked', 'turkish', 'airlines', 'full', 'service', 'airline', 'world', 'based', 'turkish', 'airlines', 'ex']",retweet,[18909186],['TurkishAirlines'],Therealnin,1621,0,10,938361961758240768,,Therealnin2,3955,Wed Dec 06 10:58:20 +0000 2017,0.43600934743881226,positive
We have continuously been inspired by all the women who left their mark on aviation and our lives Happy Internat,0,,[],972814378344042496,en,,80,"RT @TurkishAirlines: ✈️👩🏻
We have continuously been inspired by all the women who left their mark on aviation and our lives. Happy Internat…",Sun Mar 11 12:39:56 +0000 2018,"['we', 'continuously', 'inspired', 'women', 'left', 'mark', 'aviation', 'lives', 'happy', 'internat']",retweet,[18909186],['TurkishAirlines'],Therealnin,1621,0,10,938361961758240768,,Therealnin2,3955,Wed Dec 06 10:58:20 +0000 2017,0.9340474605560303,positive
Fly amp discover the colors of the sky TurkishAirlines,0,,['TurkishAirlines'],972814365559873536,en,,58,"RT @TurkishAirlines: ✈️
Fly &amp; discover the colors of the sky. 

#TurkishAirlines https://t.co/bASBXfx2m0",Sun Mar 11 12:39:53 +0000 2018,"['fly', 'discover', 'colors', 'sky', 'turkishairlines']",retweet,[18909186],['TurkishAirlines'],Therealnin,1621,0,10,938361961758240768,,Therealnin2,3955,Wed Dec 06 10:58:20 +0000 2017,0.4422566592693329,positive
